file,keywords,description,queries
dispatch.bpmn,[],,"[{'query': 'Geef mij een BPMN over de verzending van goederen door een computerhardwarewinkel.', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat betrekking heeft op het verzekeren van pakketten.', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN-diagram met een proces voor het schrijven van verzendlabels.', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over de selectie van logistieke bedrijven en het plaatsen van bestellingen.', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat betrekking heeft op het voorbereiden van goederen voor verzending.', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN-diagram met een proces voor het verkrijgen van offertes van logistieke bedrijven.', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het verpakken van goederen in een magazijn.', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat betrekking heeft op het bepalen van de verzendmethode.', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN-diagram met een proces voor het afhandelen van speciale verzendingen.', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het voorbereiden van een zending voor afhaling.', 'language': 'Dutch'}]"
hoofdprocesProcesMelding.bpmn,[],,"[{'query': ""Geef mij een BPMN over het hoofdproces 'Proces Melding'."", 'language': 'Dutch'}, {'query': ""Ik zoek een procesdiagram dat betrekking heeft op 'Behandel melding'."", 'language': 'Dutch'}, {'query': ""Toon me een BPMN-diagram waarin 'Verstuur notificatie vraag tot aanpassing' voorkomt."", 'language': 'Dutch'}, {'query': ""Geef mij een BPMN over 'Vul meldingsformulier in'."", 'language': 'Dutch'}, {'query': ""Ik zoek een procesdiagram dat 'Verstuur ontvangstbevestiging naar melder' bevat."", 'language': 'Dutch'}, {'query': ""Toon me een BPMN-diagram waarin 'Aanvraag ingediend' voorkomt."", 'language': 'Dutch'}, {'query': ""Geef mij een BPMN over 'Pas meldingsformulier aan'."", 'language': 'Dutch'}, {'query': ""Ik zoek een procesdiagram dat 'Verstuur notificatie nieuwe melding naar MC' bevat."", 'language': 'Dutch'}, {'query': ""Toon me een BPMN-diagram waarin 'Verstuur mail herclassificatie' voorkomt."", 'language': 'Dutch'}, {'query': ""Geef mij een BPMN over 'Haal logindata op'."", 'language': 'Dutch'}]"
Jeugd-Fuifkwaliteitslabel-aanvraag-Poperinge_v0.1.bpmn,[],,"[{'query': 'Geef mij een BPMN over het evalueren van een aanvraag', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat het invullen van een aanvraagformulier betreft', 'language': 'Dutch'}, {'query': ""Toon mij een BPMN-diagram met een exclusieve gateway genaamd 'Compleet?'"", 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het berekenen van punten en het maken van een rangschikking', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie van verantwoordingsstukken betreft', 'language': 'Dutch'}, {'query': ""Toon mij een BPMN-diagram met een activiteit genaamd 'Uitbetalen aan organisatoren'"", 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het op de hoogte brengen van organisatoren', 'language': 'Dutch'}, {'query': ""Ik zoek een procesdiagram dat een startgebeurtenis heeft genaamd '1 maand voor de fuif'"", 'language': 'Dutch'}, {'query': ""Toon mij een BPMN-diagram met een handmatige taak genaamd 'Op agenda plaatsen van CBS'"", 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het aanvullen van informatie op een evaluatieformulier', 'language': 'Dutch'}]"
Jeugd-Kadervormingsubsidieaanvraag-Poperinge_v0.1.bpmn,[],,"[{'query': 'Geef mij een BPMN over het indienen van een aanvraagformulier', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat betrekking heeft op het aanvullen van bewijzen kadervorming', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het evalueren van aanvraagformulieren', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de uitbetaling aan jongeren of verenigingen betreft', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het berekenen van bedragen', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie en goedkeuring van aanvragen betreft', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het plaatsen van een onderwerp op de agenda van CBS', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat een exclusieve gateway voor goedkeuring bevat', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over de verwerking van gegevens door de jeugd- en financiële dienst', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat een handmatige taak voor het evalueren van aanvraagformulieren betreft', 'language': 'Dutch'}]"
Jeugd-Project-subsidieaanvraag-Poperinge_v0.1.bpmn,[],,"[{'query': 'Geef mij een BPMN over het invullen van een aanvraagformulier', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie van een aanvraag beschrijft', 'language': 'Dutch'}, {'query': 'Welke BPMN beschrijft het indienen van verantwoordingsstukken?', 'language': 'Dutch'}, {'query': ""Toon mij een BPMN-diagram met een exclusieve gateway voor de vraag 'Compleet?'"", 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het aanvullen van informatie voor verantwoordingsstukken', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie van verantwoordingsstukken betreft', 'language': 'Dutch'}, {'query': 'Welke BPMN beschrijft het berekenen van totalen per organisator?', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN-diagram met een taak voor het op de hoogte brengen van de organisator', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over de evaluatie en goedkeuring van een project', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat het uitbetalen aan de organisator beschrijft', 'language': 'Dutch'}]"
Jeugd-subsidieaanvraag-Poperinge_v0.1.bpmn,[],,"[{'query': 'Geef mij een BPMN over subsidieaanvraag communicatie naar verenigingen.', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie van vereniging dossier/subsidie betreft.', 'language': 'Dutch'}, {'query': ""Toon mij een BPMN-diagram met de taak 'Invullen werkingssubsidie'."", 'language': 'Dutch'}, {'query': ""Hoe ziet het proces eruit dat begint met 'StartEvent_020hdqw'?"", 'language': 'Dutch'}, {'query': ""Welke stappen zijn er in het proces 'Evaluatie en goedkeuring'?"", 'language': 'Dutch'}, {'query': ""Geef mij een BPMN-diagram met de activiteit 'Vereniging op de hoogte brengen'."", 'language': 'Dutch'}, {'query': 'Ik zoek een diagram over het berekenen van totalen per vereniging.', 'language': 'Dutch'}, {'query': ""Toon mij een proces waarin 'Uitbetalen aan vereniging' voorkomt."", 'language': 'Dutch'}, {'query': ""Wat zijn de stappen in het proces van 'Op agenda plaatsen van CBS'?"", 'language': 'Dutch'}, {'query': ""Hoe is het proces opgebouwd dat eindigt met 'EndEvent_1t9fyic'?"", 'language': 'Dutch'}]"
Jeugd-verenigingen-met-specifieke-doelgroep-subsidie-Poperinge_v0.1.bpmn,[],,"[{'query': 'Geef mij een BPMN over het indienen van facturen', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie van facturen betreft', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN waarin bedragen op de agenda van CBS worden geplaatst', 'language': 'Dutch'}, {'query': 'Ik zoek een BPMN-diagram over het uitbetalen aan verenigingen', 'language': 'Dutch'}, {'query': 'Geef mij een procesdiagram over het berekenen van bedragen', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN over het aanvullen van informatie of facturen', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram waarin verenigingen op de hoogte worden gebracht van beslissingen', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over de communicatie van subsidieaanvragen naar verenigingen', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN waarin de evaluatie en goedkeuring van een proces plaatsvindt', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram waarin een milieuraad betrokken is', 'language': 'Dutch'}]"
Klachten-Heuvelland.bpmn,[],,"[{'query': 'Geef mij een BPMN over het indienen van een webformulier klachten', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie van een klacht betreft', 'language': 'Dutch'}, {'query': ""Toon mij een BPMN met een exclusieve gateway genaamd 'Is een melding of klacht?'"", 'language': 'Dutch'}, {'query': 'Ik zoek een BPMN over het registreren van een klacht in het klachtenregister', 'language': 'Dutch'}, {'query': 'Geef mij een procesdiagram over het versturen van een ontvangstmelding klacht', 'language': 'Dutch'}, {'query': ""Toon mij een BPMN met het proces 'Vraag om verduidelijking klacht'"", 'language': 'Dutch'}, {'query': 'Ik zoek een BPMN over het behandelen van een antwoord op een klacht', 'language': 'Dutch'}, {'query': 'Geef mij een procesdiagram over het opstellen van een brief met antwoord op klacht', 'language': 'Dutch'}, {'query': ""Toon mij een BPMN dat de taak 'Onderzoeken klacht' bevat"", 'language': 'Dutch'}, {'query': 'Ik zoek een BPMN over het versturen van een brief met antwoord op een klacht', 'language': 'Dutch'}]"
Klachten-Kortemark.bpmn,[],,"[{'query': 'Geef mij een BPMN over het indienen van een webformulier klachten.', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de evaluatie van een klacht betreft.', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN-diagram waarin een klacht wordt geregistreerd in het klachtenregister.', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het versturen van een brief met antwoord op een klacht.', 'language': 'Dutch'}, {'query': 'Ik zoek een BPMN-diagram dat de registratie van een klacht in e-bestuur betreft.', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN-diagram over het versturen van onontvankelijkheid en redenen naar de melder.', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over de vraag of een klacht ontvankelijk is.', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de behandeling van een klacht als melding betreft.', 'language': 'Dutch'}, {'query': 'Toon mij een BPMN-diagram waarin een klacht wordt doorgegeven aan de klachtencoördinator.', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het indienen van een klacht via een mail.', 'language': 'Dutch'}]"
Meldingen-Heuvelland.bpmn,[],,"[{'query': 'Geef mij een BPMN over het evalueren van meldingen via telefoon', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat het doorverbinden van een telefoon naar een dienst betreft', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het maken van een werkopdracht in 3P', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat de communicatie naar burgers over het oppakken van meldingen betreft', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het invullen van een meldingsformulier op een website', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat het scannen van berichten op de Facebook-pagina van de gemeente betreft', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het doorsturen van een Facebook-bericht naar een dienst', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat het behandelen van een melding door een dienst betreft', 'language': 'Dutch'}, {'query': 'Geef mij een BPMN over het plaatsen van een bericht op de Facebook-pagina van de gemeente', 'language': 'Dutch'}, {'query': 'Ik zoek een procesdiagram dat het beantwoorden van een Facebook-bericht betreft', 'language': 'Dutch'}]"
